"SHIPMENT_ID","PLANNED_TRANSIT_DAYS","ACTUAL_TRANSIT_DAYS","DELAY_DAYS","DELAY_REASON","ON_TIME_FLAG"
"SH-00115",7,7,0,"NONE",true
"SH-00116",7,7,0,"NONE",true
"SH-00117",6,\\N,\\N,"NONE",\\N
"SH-00118",6,\\N,\\N,"NONE",\\N
"SH-00119",11,11,0,"NONE",true
"SH-00120",5,\\N,3,"PORT_CONGESTION",\\N
"SH-00121",5,4,0,"NONE",true
"SH-00122",5,5,0,"NONE",true
"SH-00123",6,\\N,\\N,"NONE",\\N
"SH-00124",10,9,0,"NONE",true
"SH-00125",11,\\N,\\N,"NONE",\\N
"SH-00126",3,11,8,"MECHANICAL",false
"SH-00127",12,11,0,"NONE",true
"SH-00128",7,7,0,"NONE",true
"SH-00129",11,11,0,"NONE",true
"SH-00130",3,7,4,"PORT_CONGESTION",false
"SH-00131",5,\\N,\\N,"NONE",\\N
"SH-00132",11,\\N,\\N,"NONE",\\N
"SH-00133",5,10,6,"PORT_CONGESTION",false
"SH-00134",5,5,0,"NONE",true
"SH-00135",11,11,0,"NONE",true
"SH-00136",6,6,0,"NONE",true
"SH-00137",6,5,0,"NONE",true
"SH-00138",3,9,6,"WEATHER",false
"SH-00139",11,\\N,\\N,"NONE",\\N
"SH-00140",6,6,0,"NONE",true
"SH-00141",10,9,0,"NONE",true
"SH-00142",4,4,1,"CUSTOMS",false
"SH-00143",11,11,0,"NONE",true
"SH-00144",3,7,4,"WEATHER",false
"SH-00145",5,5,0,"NONE",true
"SH-00146",5,5,0,"NONE",true
"SH-00147",5,5,0,"NONE",true
"SH-00148",4,\\N,\\N,"NONE",\\N
"SH-00149",11,11,0,"NONE",true
"SH-00150",11,11,0,"NONE",true
"SH-00151",3,3,0,"NONE",true
"SH-00152",3,\\N,3,"OTHER",\\N
"SH-00153",5,\\N,\\N,"NONE",\\N
"SH-00154",10,11,1,"PORT_CONGESTION",false
"SH-00155",11,11,0,"NONE",true
"SH-00156",5,5,0,"NONE",true
"SH-00157",3,\\N,\\N,"NONE",\\N
"SH-00158",3,3,0,"NONE",true
"SH-00159",7,7,0,"NONE",true
"SH-00160",10,10,0,"NONE",true
"SH-00161",10,18,8,"CUSTOMS",false
"SH-00162",11,10,0,"NONE",true
"SH-00163",10,\\N,\\N,"NONE",\\N
"SH-00164",2,\\N,\\N,"NONE",\\N
"SH-00165",6,14,8,"OTHER",false
"SH-00166",12,12,0,"NONE",true
"SH-00167",12,13,2,"WEATHER",false
"SH-00168",5,9,4,"WEATHER",false
"SH-00169",6,6,0,"NONE",true
"SH-00170",6,7,2,"WEATHER",false
"SH-00171",11,11,0,"NONE",true
"SH-00172",4,4,0,"NONE",true
"SH-00173",10,9,0,"NONE",true
"SH-00174",7,\\N,\\N,"NONE",\\N
"SH-00175",12,17,5,"MECHANICAL",false
"SH-00176",5,\\N,\\N,"NONE",\\N
"SH-00177",10,9,0,"NONE",true
"SH-00178",2,9,8,"WEATHER",false
"SH-00179",5,\\N,10,"PORT_CONGESTION",\\N
"SH-00180",12,\\N,\\N,"NONE",\\N
"SH-00181",5,10,5,"WEATHER",false
"SH-00182",3,\\N,\\N,"NONE",\\N
"SH-00183",5,5,0,"NONE",true
"SH-00184",2,1,0,"NONE",true
"SH-00185",10,10,0,"NONE",true
"SH-00186",10,10,0,"NONE",true
"SH-00187",10,\\N,\\N,"NONE",\\N
"SH-00188",11,15,4,"WEATHER",false
"SH-00189",11,\\N,\\N,"NONE",\\N
"SH-00190",5,6,1,"PORT_CONGESTION",false
"SH-00191",11,13,3,"PORT_CONGESTION",false
"SH-00192",7,10,3,"PORT_CONGESTION",false
"SH-00193",5,10,5,"WEATHER",false
"SH-00194",12,\\N,\\N,"NONE",\\N
"SH-00195",6,5,0,"NONE",true
"SH-00196",11,17,6,"MECHANICAL",false
"SH-00197",11,11,0,"NONE",true
"SH-00198",2,\\N,\\N,"NONE",\\N
"SH-00199",11,11,0,"NONE",true
"SH-00200",10,9,0,"NONE",true
"SH-00201",7,7,0,"NONE",true
"SH-00202",5,\\N,\\N,"NONE",\\N
"SH-00203",5,4,0,"NONE",true
"SH-00204",2,8,7,"OTHER",false
"SH-00205",6,13,7,"PORT_CONGESTION",false
"SH-00206",6,6,1,"CUSTOMS",false
"SH-00207",6,6,0,"NONE",true
"SH-00208",11,11,0,"NONE",true
"SH-00209",11,11,0,"NONE",true
"SH-00210",5,\\N,9,"PORT_CONGESTION",\\N
"SH-00211",5,9,5,"WEATHER",false
"SH-00212",7,7,0,"NONE",true
"SH-00213",11,11,0,"NONE",true
"SH-00214",11,\\N,6,"OTHER",\\N
"SH-00215",6,\\N,\\N,"NONE",\\N
"SH-00216",4,3,0,"NONE",true
"SH-00217",3,\\N,6,"MECHANICAL",\\N
"SH-00218",11,11,0,"NONE",true
"SH-00219",5,4,0,"NONE",true
"SH-00220",5,5,0,"NONE",true
"SH-00221",12,12,0,"NONE",true
"SH-00222",6,5,0,"NONE",true
"SH-00223",5,4,0,"NONE",true
"SH-00224",10,\\N,\\N,"NONE",\\N
"SH-00225",5,11,7,"WEATHER",false
"SH-00226",7,7,0,"NONE",true
"SH-00227",10,10,1,"PORT_CONGESTION",false
"SH-00228",6,9,3,"MECHANICAL",false
"SH-00229",7,\\N,\\N,"NONE",\\N
"SH-00230",5,\\N,5,"CUSTOMS",\\N
"SH-00231",10,\\N,\\N,"NONE",\\N
"SH-00232",12,\\N,8,"OTHER",\\N
"SH-00233",11,10,0,"NONE",true
"SH-00234",3,4,2,"WEATHER",false
"SH-00235",2,2,0,"NONE",true
"SH-00236",7,7,0,"NONE",true
"SH-00237",3,3,0,"NONE",true
"SH-00238",10,10,0,"NONE",true
"SH-00239",6,\\N,7,"PORT_CONGESTION",\\N
"SH-00240",5,4,0,"NONE",true
"SH-00241",6,5,0,"NONE",true
"SH-00242",6,9,4,"WEATHER",false
"SH-00243",10,\\N,\\N,"NONE",\\N
"SH-00244",7,7,0,"NONE",true
"SH-00245",3,\\N,\\N,"NONE",\\N
"SH-00246",6,\\N,\\N,"NONE",\\N
"SH-00247",6,6,0,"NONE",true
"SH-00248",7,\\N,\\N,"NONE",\\N
"SH-00249",7,7,0,"NONE",true
"SH-00250",12,\\N,3,"PORT_CONGESTION",\\N
"SH-00251",11,16,6,"CUSTOMS",false
"SH-00252",3,3,0,"NONE",true
"SH-00253",7,7,0,"NONE",true
"SH-00254",12,12,0,"NONE",true
"SH-00255",4,3,0,"NONE",true
"SH-00256",10,\\N,\\N,"NONE",\\N
"SH-00257",5,5,0,"NONE",true
"SH-00258",6,11,6,"PORT_CONGESTION",false
"SH-00259",5,5,0,"NONE",true
"SH-00260",4,4,0,"NONE",true
"SH-00261",7,6,0,"NONE",true
"SH-00262",10,15,6,"PORT_CONGESTION",false
"SH-00263",7,7,0,"NONE",true
"SH-00264",5,5,0,"NONE",true
"SH-00265",12,\\N,\\N,"NONE",\\N
"SH-00266",7,7,0,"NONE",true
"SH-00267",11,10,0,"NONE",true
"SH-00268",6,\\N,\\N,"NONE",\\N
"SH-00269",7,\\N,6,"PORT_CONGESTION",\\N
"SH-00270",6,5,0,"NONE",true
"SH-00271",7,\\N,5,"MECHANICAL",\\N
"SH-00272",6,\\N,\\N,"NONE",\\N
"SH-00273",5,8,3,"WEATHER",false
"SH-00274",7,6,0,"NONE",true
"SH-00275",7,10,3,"CUSTOMS",false
"SH-00276",3,3,0,"NONE",true
"SH-00277",10,\\N,\\N,"NONE",\\N
"SH-00278",3,3,0,"NONE",true
"SH-00279",5,\\N,\\N,"NONE",\\N
"SH-00280",10,11,1,"CUSTOMS",false
"SH-00281",10,12,3,"CUSTOMS",false
"SH-00282",4,\\N,\\N,"NONE",\\N
"SH-00283",7,10,3,"PORT_CONGESTION",false
"SH-00284",5,\\N,\\N,"NONE",\\N
"SH-00285",11,10,0,"NONE",true
"SH-00286",3,2,0,"NONE",true
"SH-00287",10,18,8,"PORT_CONGESTION",false
"SH-00288",7,15,8,"WEATHER",false
"SH-00289",5,5,0,"NONE",true
"SH-00290",3,3,0,"NONE",true
"SH-00291",5,11,6,"MECHANICAL",false
"SH-00292",5,\\N,\\N,"NONE",\\N
"SH-00293",5,4,0,"NONE",true
"SH-00294",6,\\N,\\N,"NONE",\\N
"SH-00295",12,12,0,"NONE",true
"SH-00296",6,\\N,\\N,"NONE",\\N
"SH-00297",3,3,0,"NONE",true
"SH-00298",11,11,0,"NONE",true
"SH-00299",7,7,0,"NONE",true
"SH-00300",6,\\N,\\N,"NONE",\\N
"SH-00301",6,6,0,"NONE",true
"SH-00302",4,4,0,"NONE",true
"SH-00303",4,3,0,"NONE",true
"SH-00304",5,5,0,"NONE",true
"SH-00305",7,\\N,4,"MECHANICAL",\\N
"SH-00306",10,10,0,"NONE",true
"SH-00307",7,\\N,\\N,"NONE",\\N
"SH-00308",7,6,0,"NONE",true
"SH-00309",3,9,6,"CUSTOMS",false
"SH-00310",12,12,0,"NONE",true
"SH-00311",10,\\N,\\N,"NONE",\\N
"SH-00312",5,5,0,"NONE",true
"SH-00313",7,6,0,"NONE",true
"SH-00314",7,6,0,"NONE",true
"SH-00315",5,6,1,"WEATHER",false
"SH-00316",5,\\N,\\N,"NONE",\\N
"SH-00317",11,10,0,"NONE",true
"SH-00318",5,4,0,"NONE",true
"SH-00319",6,5,0,"NONE",true
"SH-00320",5,\\N,\\N,"NONE",\\N
"SH-00321",5,5,0,"NONE",true
"SH-00322",10,\\N,\\N,"NONE",\\N
"SH-00323",7,\\N,\\N,"NONE",\\N
"SH-00324",11,11,0,"NONE",true
"SH-00325",11,11,0,"NONE",true
"SH-00326",11,18,8,"WEATHER",false
"SH-00327",7,7,0,"NONE",true
"SH-00328",3,3,0,"NONE",true
"SH-00329",11,11,0,"NONE",true
"SH-00330",7,14,8,"WEATHER",false
"SH-00331",10,17,7,"OTHER",false
"SH-00332",5,4,0,"NONE",true
"SH-00333",5,4,0,"NONE",true
"SH-00334",5,\\N,\\N,"NONE",\\N
"SH-00335",7,7,0,"NONE",true
"SH-00336",6,6,0,"NONE",true
"SH-00337",7,\\N,\\N,"NONE",\\N
"SH-00338",6,\\N,\\N,"NONE",\\N
"SH-00339",11,11,0,"NONE",true
"SH-00340",6,5,0,"NONE",true
"SH-00341",3,2,0,"NONE",true
"SH-00342",5,5,0,"NONE",true
"SH-00343",7,7,0,"NONE",true
"SH-00344",7,10,3,"PORT_CONGESTION",false
"SH-00345",7,\\N,\\N,"NONE",\\N
"SH-00346",4,12,8,"MECHANICAL",false
"SH-00347",11,\\N,6,"WEATHER",\\N
"SH-00348",4,4,1,"PORT_CONGESTION",false
"SH-00349",11,\\N,2,"CUSTOMS",\\N
"SH-00350",3,7,5,"PORT_CONGESTION",false
"SH-00351",5,5,0,"NONE",true
"SH-00352",7,6,0,"NONE",true
"SH-00353",3,3,0,"NONE",true
"SH-00354",5,\\N,\\N,"NONE",\\N
"SH-00355",6,\\N,\\N,"NONE",\\N
"SH-00356",5,4,0,"NONE",true
"SH-00357",11,11,0,"NONE",true
"SH-00358",11,11,0,"NONE",true
"SH-00359",7,7,0,"NONE",true
"SH-00360",7,11,4,"PORT_CONGESTION",false
"SH-00361",5,\\N,\\N,"NONE",\\N
"SH-00362",6,6,0,"NONE",true
"SH-00363",11,11,0,"NONE",true
"SH-00364",7,9,2,"PORT_CONGESTION",false
"SH-00365",12,12,0,"NONE",true
"SH-00366",7,\\N,\\N,"NONE",\\N
"SH-00367",6,6,0,"NONE",true
"SH-00368",5,\\N,5,"OTHER",\\N
"SH-00369",5,5,0,"NONE",true
"SH-00370",5,\\N,7,"PORT_CONGESTION",\\N
"SH-00371",7,7,0,"NONE",true
"SH-00372",2,2,0,"NONE",true
"SH-00373",6,6,0,"NONE",true
"SH-00374",11,11,1,"CUSTOMS",false
"SH-00375",12,12,0,"NONE",true
"SH-00376",7,\\N,\\N,"NONE",\\N
"SH-00377",7,7,0,"NONE",true
"SH-00378",2,\\N,\\N,"NONE",\\N
"SH-00379",5,4,0,"NONE",true
"SH-00380",5,8,3,"PORT_CONGESTION",false
"SH-00381",6,8,2,"CUSTOMS",false
"SH-00382",5,5,0,"NONE",true
"SH-00383",2,4,2,"OTHER",false
"SH-00384",11,11,0,"NONE",true
"SH-00385",12,11,0,"NONE",true
"SH-00386",11,\\N,\\N,"NONE",\\N
"SH-00387",5,7,3,"CUSTOMS",false
"SH-00388",6,6,0,"NONE",true
"SH-00389",2,5,3,"PORT_CONGESTION",false
"SH-00390",7,7,0,"NONE",true
"SH-00391",7,14,8,"PORT_CONGESTION",false
"SH-00392",6,6,0,"NONE",true
"SH-00393",12,12,0,"NONE",true
"SH-00394",6,13,8,"OTHER",false
"SH-00395",6,6,0,"NONE",true
"SH-00396",7,\\N,\\N,"NONE",\\N
"SH-00397",5,5,0,"NONE",true
"SH-00398",3,3,0,"NONE",true
"SH-00399",11,15,5,"MECHANICAL",false
"SH-00400",3,3,0,"NONE",true
"SH-00401",11,12,2,"PORT_CONGESTION",false
"SH-00402",11,\\N,\\N,"NONE",\\N
"SH-00403",5,5,0,"NONE",true
"SH-00404",4,4,0,"NONE",true
"SH-00405",11,11,0,"NONE",true
"SH-00406",11,10,0,"NONE",true
"SH-00407",5,\\N,\\N,"NONE",\\N
"SH-00408",5,7,2,"PORT_CONGESTION",false
"SH-00409",4,3,0,"NONE",true
"SH-00410",3,2,0,"NONE",true
"SH-00411",11,\\N,\\N,"NONE",\\N
"SH-00412",11,12,2,"PORT_CONGESTION",false
"SH-00413",4,\\N,\\N,"NONE",\\N
"SH-00414",4,\\N,\\N,"NONE",\\N
"SH-00415",5,5,0,"NONE",true
"SH-00416",12,11,0,"NONE",true
"SH-00417",5,4,0,"NONE",true
"SH-00418",4,7,3,"PORT_CONGESTION",false
"SH-00419",10,\\N,\\N,"NONE",\\N
"SH-00420",7,\\N,\\N,"NONE",\\N
"SH-00421",5,4,0,"NONE",true
"SH-00422",7,7,0,"NONE",true
"SH-00423",7,9,2,"PORT_CONGESTION",false
"SH-00424",7,\\N,\\N,"NONE",\\N
"SH-00425",10,9,0,"NONE",true
"SH-00426",11,11,0,"NONE",true
"SH-00427",3,3,0,"NONE",true
"SH-00428",3,\\N,\\N,"NONE",\\N
"SH-00429",3,9,7,"OTHER",false
"SH-00430",11,11,0,"NONE",true
"SH-00431",11,11,0,"NONE",true
"SH-00432",7,7,0,"NONE",true
"SH-00433",11,\\N,\\N,"NONE",\\N
"SH-00434",6,\\N,\\N,"NONE",\\N
"SH-00435",2,2,0,"NONE",true
"SH-00436",5,\\N,6,"CUSTOMS",\\N
"SH-00437",5,\\N,\\N,"NONE",\\N
"SH-00438",11,\\N,\\N,"NONE",\\N
"SH-00439",11,11,0,"NONE",true
"SH-00440",10,9,0,"NONE",true
"SH-00441",10,10,0,"NONE",true
"SH-00442",12,\\N,\\N,"NONE",\\N
"SH-00443",5,\\N,\\N,"NONE",\\N
"SH-00444",7,6,0,"NONE",true
"SH-00445",3,3,1,"CUSTOMS",false
"SH-00446",11,11,0,"NONE",true
"SH-00447",11,\\N,\\N,"NONE",\\N
"SH-00448",7,13,6,"PORT_CONGESTION",false
"SH-00449",12,\\N,\\N,"NONE",\\N
"SH-00450",4,3,0,"NONE",true
"SH-00451",4,9,5,"OTHER",false
"SH-00452",11,11,0,"NONE",true
"SH-00453",5,5,0,"NONE",true
"SH-00454",6,5,0,"NONE",true
"SH-00455",7,\\N,\\N,"NONE",\\N
"SH-00456",4,11,8,"CUSTOMS",false
"SH-00457",11,14,4,"MECHANICAL",false
"SH-00458",7,\\N,\\N,"NONE",\\N
"SH-00459",10,\\N,\\N,"NONE",\\N
"SH-00460",5,5,0,"NONE",true
"SH-00461",4,4,0,"NONE",true
"SH-00462",3,3,0,"NONE",true
"SH-00463",11,18,7,"CUSTOMS",false
"SH-00464",5,11,6,"WEATHER",false
"SH-00465",5,4,0,"NONE",true
"SH-00466",6,6,0,"NONE",true
"SH-00467",5,\\N,\\N,"NONE",\\N
"SH-00468",10,10,0,"NONE",true
"SH-00469",11,10,0,"NONE",true
"SH-00470",3,\\N,\\N,"NONE",\\N
"SH-00471",5,\\N,10,"CUSTOMS",\\N
"SH-00472",6,5,0,"NONE",true
"SH-00473",6,9,3,"WEATHER",false
"SH-00474",6,\\N,\\N,"NONE",\\N
"SH-00475",11,11,0,"NONE",true
"SH-00476",3,2,0,"NONE",true
"SH-00477",3,7,4,"MECHANICAL",false
"SH-00478",7,7,0,"NONE",true
"SH-00479",5,5,0,"NONE",true
"SH-00480",7,6,0,"NONE",true
"SH-00481",6,\\N,\\N,"NONE",\\N
"SH-00482",5,10,6,"PORT_CONGESTION",false
"SH-00483",5,\\N,5,"MECHANICAL",\\N
"SH-00484",6,14,8,"PORT_CONGESTION",false
"SH-00485",4,7,4,"CUSTOMS",false
"SH-00486",7,7,0,"NONE",true
"SH-00487",11,11,0,"NONE",true
"SH-00488",7,7,0,"NONE",true
"SH-00489",10,10,0,"NONE",true
"SH-00490",10,10,0,"NONE",true
"SH-00491",3,6,3,"WEATHER",false
"SH-00492",3,3,0,"NONE",true
"SH-00493",4,4,0,"NONE",true
"SH-00494",3,2,0,"NONE",true
"SH-00495",11,\\N,3,"PORT_CONGESTION",\\N
"SH-00496",10,10,0,"NONE",true
"SH-00497",5,\\N,\\N,"NONE",\\N
"SH-00498",7,8,1,"WEATHER",false
"SH-00499",11,11,0,"NONE",true
"SH-00500",3,8,5,"MECHANICAL",false
"SH-00501",6,\\N,\\N,"NONE",\\N
"SH-00502",6,\\N,\\N,"NONE",\\N
"SH-00503",6,5,0,"NONE",true
"SH-00504",6,\\N,\\N,"NONE",\\N
"SH-00505",3,3,0,"NONE",true
"SH-00506",3,2,0,"NONE",true
"SH-00507",6,5,0,"NONE",true
"SH-00508",2,\\N,\\N,"NONE",\\N
"SH-00509",3,3,0,"NONE",true
"SH-00510",5,5,0,"NONE",true
"SH-00511",11,\\N,\\N,"NONE",\\N
"SH-00512",3,5,2,"PORT_CONGESTION",false
"SH-00513",7,14,7,"OTHER",false
"SH-00514",12,12,0,"NONE",true
"SH-00515",5,\\N,\\N,"NONE",\\N
"SH-00516",11,11,0,"NONE",true
"SH-00517",12,12,0,"NONE",true
"SH-00518",3,2,0,"NONE",true
"SH-00519",6,6,0,"NONE",true
"SH-00520",12,16,4,"CUSTOMS",false
"SH-00521",7,12,5,"PORT_CONGESTION",false
"SH-00522",7,\\N,\\N,"NONE",\\N
"SH-00523",2,2,1,"WEATHER",false
"SH-00524",7,\\N,5,"CUSTOMS",\\N
"SH-00525",7,7,0,"NONE",true
"SH-00526",11,\\N,\\N,"NONE",\\N
"SH-00527",10,13,3,"PORT_CONGESTION",false
"SH-00528",6,6,0,"NONE",true
"SH-00529",5,10,5,"CUSTOMS",false
"SH-00530",7,10,4,"WEATHER",false
"SH-00531",5,9,4,"WEATHER",false
"SH-00532",3,3,0,"NONE",true
"SH-00533",5,5,0,"NONE",true
"SH-00534",5,5,0,"NONE",true
"SH-00535",7,6,0,"NONE",true
"SH-00536",10,10,0,"NONE",true
"SH-00537",5,\\N,\\N,"NONE",\\N
"SH-00538",7,\\N,\\N,"NONE",\\N
"SH-00539",5,\\N,\\N,"NONE",\\N
"SH-00540",5,\\N,\\N,"NONE",\\N
"SH-00541",11,11,0,"NONE",true
"SH-00542",5,\\N,\\N,"NONE",\\N
"SH-00543",11,11,0,"NONE",true
"SH-00544",5,5,0,"NONE",true
"SH-00545",6,5,0,"NONE",true
"SH-00546",3,9,7,"PORT_CONGESTION",false
"SH-00547",7,\\N,\\N,"NONE",\\N
"SH-00548",3,2,0,"NONE",true
"SH-00549",6,\\N,\\N,"NONE",\\N
"SH-00550",7,7,0,"NONE",true
"SH-00551",7,6,0,"NONE",true
"SH-00552",5,5,0,"NONE",true
"SH-00553",3,\\N,\\N,"NONE",\\N
"SH-00554",5,10,6,"MECHANICAL",false
"SH-00555",7,14,7,"WEATHER",false
"SH-00556",6,\\N,\\N,"NONE",\\N
"SH-00557",4,\\N,\\N,"NONE",\\N
"SH-00558",11,11,0,"NONE",true
"SH-00559",11,10,0,"NONE",true
"SH-00560",5,4,0,"NONE",true
"SH-00561",7,7,0,"NONE",true
"SH-00562",10,13,3,"WEATHER",false
"SH-00563",5,7,3,"WEATHER",false
"SH-00564",6,12,6,"PORT_CONGESTION",false
"SH-00565",2,6,4,"WEATHER",false
"SH-00566",2,\\N,\\N,"NONE",\\N
"SH-00567",6,6,0,"NONE",true
"SH-00568",12,12,0,"NONE",true
"SH-00569",5,5,0,"NONE",true
"SH-00570",7,7,0,"NONE",true
"SH-00571",5,\\N,\\N,"NONE",\\N
"SH-00572",10,\\N,\\N,"NONE",\\N
"SH-00573",7,7,0,"NONE",true
"SH-00574",12,11,0,"NONE",true
"SH-00575",10,10,0,"NONE",true
"SH-00576",12,18,6,"WEATHER",false
"SH-00577",12,\\N,\\N,"NONE",\\N
"SH-00578",5,5,0,"NONE",true
"SH-00579",4,\\N,\\N,"NONE",\\N
"SH-00580",10,10,0,"NONE",true
"SH-00581",6,14,8,"OTHER",false
"SH-00582",5,4,0,"NONE",true
"SH-00583",11,12,1,"WEATHER",false
"SH-00584",7,7,0,"NONE",true
"SH-00585",7,\\N,\\N,"NONE",\\N
"SH-00586",11,\\N,\\N,"NONE",\\N
"SH-00587",3,8,5,"WEATHER",false
"SH-00588",3,3,0,"NONE",true
"SH-00589",5,7,3,"WEATHER",false
"SH-00590",7,12,5,"PORT_CONGESTION",false
"SH-00591",10,9,0,"NONE",true
"SH-00592",5,\\N,9,"PORT_CONGESTION",\\N
"SH-00593",7,\\N,\\N,"NONE",\\N
"SH-00594",5,\\N,4,"CUSTOMS",\\N
"SH-00595",6,6,0,"NONE",true
"SH-00596",7,8,2,"WEATHER",false
"SH-00597",11,\\N,\\N,"NONE",\\N
"SH-00598",5,\\N,\\N,"NONE",\\N
"SH-00599",5,12,8,"PORT_CONGESTION",false
"SH-00600",3,10,7,"PORT_CONGESTION",false
"SH-00601",6,6,0,"NONE",true
"SH-00602",5,5,0,"NONE",true
"SH-00603",3,2,0,"NONE",true
"SH-00604",7,7,0,"NONE",true
"SH-00605",7,7,0,"NONE",true
"SH-00606",11,\\N,5,"WEATHER",\\N
"SH-00607",12,12,0,"NONE",true
"SH-00608",11,\\N,\\N,"NONE",\\N
"SH-00609",6,5,0,"NONE",true
"SH-00610",10,9,0,"NONE",true
"SH-00611",5,5,0,"NONE",true
"SH-00612",11,\\N,8,"WEATHER",\\N
