claim_id,customer_id,claim_date,claim_amount,claim_type,status,adjuster_id
CL000126,C00268,2023-06-19,3038.0,Theft,Open,ADJ036
CL000127,C00075,2024-06-05,7795.95,Medical,Open,ADJ033
CL000128,C00980,2022-06-16,4236.55,Theft,Denied,ADJ017
CL000129,C00711,2025-06-06,6920.15,Liability,Denied,ADJ031
CL000130,C00789,2024-10-27,7409.16,Liability,Approved,ADJ038
CL000131,C00883,2025-02-01,896.59,Collision,Under Review,ADJ005
CL000132,C00392,2024-08-18,9688.1,Property,Closed,ADJ021
CL000133,C00423,2025-06-03,14353.96,Theft,Denied,ADJ001
CL000134,C00718,2024-12-29,12566.57,Property,Under Review,ADJ006
CL000135,C00409,2024-02-03,10268.62,Medical,Open,ADJ036
CL000136,C00954,2025-04-19,3088.04,Medical,Under Review,ADJ014
CL000137,C00916,2022-08-19,14840.2,Property,Approved,ADJ048
CL000138,C00205,2025-02-12,3905.49,Property,Under Review,ADJ014
CL000139,C00235,2025-04-03,6019.15,Theft,Under Review,ADJ010
CL000140,C00798,2025-07-31,2046.99,Collision,Approved,ADJ040
CL000141,C00007,2021-07-26,11581.54,Theft,Open,ADJ031
CL000142,C00381,2025-02-08,9499.68,Liability,Denied,ADJ018
CL000143,C00503,2024-04-25,3151.64,Theft,Under Review,ADJ026
CL000144,C00228,2025-04-11,11377.46,Property,Open,ADJ034
CL000145,C00819,2024-10-09,6636.05,Theft,Open,ADJ033
CL000146,C00356,2023-09-12,6208.9,Property,Approved,ADJ008
CL000147,C00716,2025-07-12,8013.97,Medical,Open,ADJ001
CL000148,C00691,2024-07-17,3555.91,Theft,Open,ADJ021
CL000149,C00371,2025-05-03,16515.29,Theft,Under Review,ADJ016
CL000150,C00276,2022-04-22,7334.51,Theft,Under Review,ADJ024
CL000151,C00189,2024-03-23,7732.17,Property,Approved,ADJ045
CL000152,C00771,2025-06-25,5898.49,Liability,Under Review,ADJ029
CL000153,C00185,2024-08-11,21781.5,Property,Open,ADJ047
CL000154,C00277,2024-09-25,12159.27,Theft,Approved,ADJ025
CL000155,C00201,2024-09-24,6430.02,Property,Approved,ADJ001
CL000156,C00181,2023-12-22,10807.21,Theft,Denied,ADJ047
CL000157,C00324,2025-04-19,11887.33,Medical,Under Review,ADJ036
CL000158,C00880,2025-06-03,8733.6,Liability,Open,ADJ045
CL000159,C00168,2024-11-21,3171.15,Liability,Open,ADJ029
CL000160,C00763,2024-11-16,5352.52,Medical,Under Review,ADJ036
CL000161,C00571,2023-11-25,24628.65,Collision,Approved,ADJ008
CL000162,C00360,2024-09-04,13076.84,Theft,Closed,ADJ037
CL000163,C00590,2025-06-04,9923.05,Theft,Closed,ADJ050
CL000164,C00292,2025-04-26,12276.54,Liability,Approved,ADJ006
CL000165,C00391,2023-08-17,9398.12,Liability,Closed,ADJ011
CL000166,C00656,2025-02-18,12211.9,Medical,Approved,ADJ041
CL000167,C00628,2025-01-14,8788.74,Collision,Open,ADJ011
CL000168,C00352,2024-09-20,3809.16,Medical,Under Review,ADJ046
CL000169,C00274,2024-10-21,9278.08,Liability,Under Review,ADJ029
CL000170,C00800,2023-12-11,13010.69,Medical,Denied,ADJ034
CL000171,C00989,2025-05-22,11719.89,Collision,Closed,ADJ047
CL000172,C00241,2022-05-18,24646.77,Collision,Closed,ADJ011
CL000173,C00407,2022-11-25,1993.64,Collision,Approved,ADJ036
CL000174,C00056,2023-07-28,1673.72,Collision,Open,ADJ017
CL000175,C00633,2023-06-17,2751.48,Liability,Under Review,ADJ015
CL000176,C00254,2024-04-09,21753.88,Property,Closed,ADJ034
CL000177,C00859,2025-06-24,2973.82,Collision,Under Review,ADJ021
CL000178,C00885,2022-03-10,18325.37,Theft,Under Review,ADJ036
CL000179,C00456,2025-05-16,2459.17,Theft,Closed,ADJ038
CL000180,C00612,2023-06-03,16011.98,Theft,Approved,ADJ034
CL000181,C00656,2023-05-20,9773.16,Medical,Under Review,ADJ031
CL000182,C00553,2023-02-27,3793.36,Collision,Approved,ADJ020
CL000183,C00375,2025-04-22,6476.96,Property,Under Review,ADJ001
CL000184,C00001,2025-07-02,8088.09,Property,Under Review,ADJ019
CL000185,C00481,2025-07-17,18068.65,Liability,Approved,ADJ020
CL000186,C00010,2025-05-02,26668.12,Theft,Closed,ADJ001
CL000187,C00562,2025-07-24,5917.84,Liability,Denied,ADJ028
CL000188,C00405,2021-06-17,9133.28,Liability,Approved,ADJ015
CL000189,C00270,2023-07-12,1648.54,Property,Denied,ADJ049
CL000190,C00820,2025-01-06,13694.34,Medical,Under Review,ADJ042
CL000191,C00761,2025-08-09,8213.19,Medical,Approved,ADJ013
CL000192,C00874,2022-09-12,1492.73,Property,Under Review,ADJ008
CL000193,C00653,2025-07-18,7102.47,Liability,Under Review,ADJ045
CL000194,C00638,2022-01-01,7633.94,Medical,Open,ADJ010
CL000195,C00051,2024-02-01,14560.89,Collision,Closed,ADJ007
CL000196,C00289,2023-12-29,4403.33,Liability,Open,ADJ015
CL000197,C00093,2024-01-24,2684.91,Liability,Closed,ADJ022
CL000198,C00431,2023-12-01,5017.86,Liability,Under Review,ADJ030
CL000199,C00714,2021-08-30,11975.66,Medical,Open,ADJ049
CL000200,C00975,2024-04-10,2618.27,Medical,Approved,ADJ005
CL000201,C00557,2025-08-07,12381.99,Medical,Approved,ADJ001
CL000202,C00125,2023-08-07,32404.52,Liability,Approved,ADJ016
CL000203,C00756,2024-12-03,14920.76,Property,Approved,ADJ048
CL000204,C00790,2025-04-23,1862.42,Property,Approved,ADJ025
CL000205,C00698,2025-03-15,14437.6,Medical,Closed,ADJ041
CL000206,C00746,2022-09-12,2709.67,Theft,Open,ADJ017
CL000207,C00493,2024-03-13,9758.54,Property,Under Review,ADJ004
CL000208,C00885,2022-07-21,25145.96,Property,Approved,ADJ021
CL000209,C00016,2025-01-23,2926.73,Medical,Denied,ADJ008
CL000210,C00406,2024-02-13,11942.58,Collision,Open,ADJ038
CL000211,C00803,2021-01-18,10515.9,Theft,Closed,ADJ024
CL000212,C00790,2025-08-04,1797.46,Property,Approved,ADJ006
CL000213,C00703,2024-07-29,23020.99,Collision,Open,ADJ023
CL000214,C00661,2025-06-19,2731.82,Theft,Open,ADJ009
CL000215,C00500,2025-06-10,3873.78,Theft,Under Review,ADJ029
CL000216,C00751,2025-06-30,3298.0,Liability,Under Review,ADJ047
CL000217,C00138,2024-11-30,4135.1,Collision,Approved,ADJ046
CL000218,C00449,2022-09-16,17579.48,Liability,Closed,ADJ037
CL000219,C00192,2024-10-18,15287.0,Liability,Under Review,ADJ039
CL000220,C00937,2023-01-27,12978.13,Property,Open,ADJ034
CL000221,C00159,2022-06-30,7016.07,Medical,Denied,ADJ024
CL000222,C00465,2024-06-10,1091.33,Liability,Closed,ADJ002
CL000223,C00635,2024-10-28,12924.02,Theft,Closed,ADJ021
CL000224,C00739,2025-04-27,1418.46,Theft,Approved,ADJ013
CL000225,C00537,2025-05-15,10406.75,Theft,Closed,ADJ040
CL000226,C00290,2025-03-18,11084.96,Collision,Open,ADJ034
CL000227,C00675,2024-12-04,1466.86,Property,Closed,ADJ003
CL000228,C00207,2024-04-03,2052.3,Property,Open,ADJ003
CL000229,C00585,2022-08-27,9805.4,Liability,Approved,ADJ034
CL000230,C00639,2024-08-14,18734.2,Medical,Closed,ADJ039
CL000231,C00736,2024-12-16,1527.67,Property,Approved,ADJ006
CL000232,C00480,2025-06-06,12114.79,Collision,Under Review,ADJ036
CL000233,C00762,2022-07-23,14104.54,Liability,Under Review,ADJ046
CL000234,C00060,2025-03-01,12442.82,Medical,Denied,ADJ003
CL000235,C00752,2023-05-22,2743.07,Property,Denied,ADJ007
CL000236,C00104,2023-08-22,11014.99,Theft,Approved,ADJ013
CL000237,C00198,2025-01-21,8129.78,Property,Denied,ADJ041
CL000238,C00971,2022-06-09,6959.05,Liability,Open,ADJ050
CL000239,C00654,2024-08-15,8860.17,Liability,Approved,ADJ007
CL000240,C00171,2022-10-31,11990.69,Theft,Approved,ADJ033
CL000241,C00346,2024-04-21,10034.21,Theft,Denied,ADJ029
CL000242,C00956,2024-04-21,5608.7,Medical,Denied,ADJ021
CL000243,C00866,2023-10-27,13335.89,Liability,Under Review,ADJ039
CL000244,C00247,2025-06-21,14852.21,Theft,Under Review,ADJ024
CL000245,C00985,2024-05-17,7059.85,Liability,Open,ADJ047
CL000246,C00036,2025-08-08,14752.87,Theft,Open,ADJ034
CL000247,C00139,2025-04-02,14904.47,Medical,Open,ADJ020
CL000248,C00228,2025-05-13,3614.93,Medical,Open,ADJ050
CL000249,C00842,2025-02-22,14178.54,Medical,Denied,ADJ033
CL000250,C00570,2022-03-22,8774.69,Theft,Closed,ADJ007
CL000251,C00039,2025-01-26,7175.36,Property,Closed,ADJ017
CL000252,C00376,2025-08-11,13399.57,Property,Closed,ADJ017
CL000253,C00831,2023-11-19,4854.39,Theft,Approved,ADJ037
CL000254,C00940,2023-09-21,3652.84,Collision,Under Review,ADJ031
CL000255,C00178,2025-04-14,7580.01,Theft,Open,ADJ039
CL000256,C00658,2024-05-09,10832.05,Theft,Approved,ADJ006
CL000257,C00799,2025-01-29,2976.88,Medical,Approved,ADJ027
CL000258,C00953,2022-07-04,13083.55,Property,Denied,ADJ001
CL000259,C00650,2024-05-15,11772.57,Liability,Open,ADJ020
CL000260,C00537,2025-05-31,1097.14,Theft,Denied,ADJ010
CL000261,C00335,2025-07-21,7784.82,Property,Closed,ADJ004
CL000262,C00690,2025-06-09,21025.93,Liability,Denied,ADJ037
CL000263,C00517,2022-09-21,1806.2,Liability,Under Review,ADJ026
CL000264,C00152,2021-10-08,3824.6,Theft,Open,ADJ036
CL000265,C00409,2024-01-31,4307.09,Liability,Denied,ADJ028
CL000266,C00793,2025-06-12,24020.8,Liability,Denied,ADJ013
CL000267,C00500,2024-08-15,6232.12,Theft,Closed,ADJ036
CL000268,C00631,2023-09-15,14957.64,Theft,Closed,ADJ016
CL000269,C00074,2023-12-22,4360.73,Liability,Under Review,ADJ044
CL000270,C00947,2024-03-08,8852.26,Collision,Approved,ADJ028
CL000271,C00375,2025-07-03,5550.46,Medical,Under Review,ADJ039
CL000272,C00672,2025-02-18,851.0,Medical,Closed,ADJ023
CL000273,C00632,2025-03-02,28584.54,Theft,Closed,ADJ029
CL000274,C00046,2021-05-16,13901.09,Property,Closed,ADJ044
CL000275,C00383,2023-02-13,2761.87,Collision,Open,ADJ048
CL000276,C00056,2023-11-30,8535.34,Property,Under Review,ADJ001
CL000277,C00352,2024-12-02,10560.03,Collision,Under Review,ADJ029
CL000278,C00483,2025-06-14,829.85,Property,Denied,ADJ014
CL000279,C00209,2024-03-22,18955.08,Theft,Approved,ADJ040
CL000280,C00748,2024-05-20,14888.38,Collision,Approved,ADJ038
CL000281,C00928,2025-01-23,10121.16,Collision,Under Review,ADJ011
CL000282,C00062,2024-10-10,4618.2,Theft,Under Review,ADJ004
CL000283,C00477,2023-03-13,9993.99,Collision,Open,ADJ025
CL000284,C00677,2024-12-26,4434.0,Medical,Open,ADJ002
CL000285,C00300,2024-12-14,13077.45,Liability,Closed,ADJ025
CL000286,C00521,2022-11-20,23451.59,Medical,Approved,ADJ039
CL000287,C00545,2022-10-30,1776.3,Property,Denied,ADJ030
CL000288,C00575,2025-05-08,13932.07,Collision,Open,ADJ016
CL000289,C00945,2024-11-09,8176.52,Medical,Approved,ADJ026
CL000290,C00763,2025-04-25,2776.58,Medical,Under Review,ADJ023
CL000291,C00641,2023-12-10,12189.76,Theft,Under Review,ADJ004
CL000292,C00641,2024-06-28,7994.72,Collision,Denied,ADJ018
CL000293,C00231,2023-06-10,2699.77,Liability,Closed,ADJ006
CL000294,C00748,2023-06-25,6042.0,Theft,Closed,ADJ027
CL000295,C00247,2024-03-20,16966.43,Medical,Denied,ADJ022
CL000296,C00460,2025-07-15,8362.39,Property,Closed,ADJ038
CL000297,C00555,2024-10-05,10418.71,Property,Closed,ADJ020
CL000298,C00706,2024-09-29,10724.48,Theft,Closed,ADJ028
CL000299,C00931,2022-04-14,14648.77,Property,Denied,ADJ011
CL000300,C00326,2023-12-09,1483.3,Theft,Open,ADJ012
CL000301,C00326,2023-04-30,12673.08,Property,Open,ADJ049
CL000302,C00327,2024-09-30,25383.83,Liability,Under Review,ADJ029
CL000303,C00764,2023-02-04,14039.64,Medical,Closed,ADJ050
CL000304,C00193,2022-06-10,2048.19,Property,Open,ADJ049
CL000305,C00627,2024-06-15,9445.72,Theft,Denied,ADJ040
CL000306,C00237,2023-04-12,9147.23,Property,Open,ADJ023
CL000307,C00082,2024-01-09,10478.05,Liability,Closed,ADJ033
CL000308,C00867,2025-02-19,9268.32,Medical,Closed,ADJ025
CL000309,C00504,2024-12-10,7370.78,Property,Closed,ADJ015
CL000310,C00034,2024-06-28,6424.54,Collision,Under Review,ADJ027
CL000311,C00228,2025-04-16,11264.32,Property,Closed,ADJ005
CL000312,C00182,2023-03-30,13943.0,Liability,Denied,ADJ032
CL000313,C00705,2025-07-01,5210.99,Liability,Closed,ADJ028
CL000314,C00415,2023-10-15,11755.11,Theft,Approved,ADJ047
CL000315,C00321,2025-04-18,15159.7,Theft,Denied,ADJ035
CL000316,C00538,2023-10-31,9800.21,Collision,Denied,ADJ007
CL000317,C00463,2025-04-04,16941.72,Property,Denied,ADJ035
CL000318,C00406,2025-06-08,14765.54,Collision,Denied,ADJ025
CL000319,C00529,2025-06-03,28553.31,Property,Under Review,ADJ029
CL000320,C00408,2024-06-08,13323.76,Medical,Approved,ADJ011
CL000321,C00433,2024-09-27,11536.58,Theft,Closed,ADJ030
CL000322,C00850,2025-07-27,9868.47,Collision,Denied,ADJ008
CL000323,C00185,2025-04-04,28746.07,Theft,Closed,ADJ026
CL000324,C00424,2021-07-15,5190.18,Collision,Closed,ADJ030
CL000325,C00605,2024-10-19,13500.95,Property,Approved,ADJ006
CL000326,C00257,2025-02-23,5199.08,Property,Open,ADJ006
CL000327,C00117,2022-03-18,10740.29,Medical,Open,ADJ034
CL000328,C00725,2022-09-15,6069.27,Theft,Denied,ADJ011
CL000329,C00388,2023-05-29,8480.02,Collision,Closed,ADJ022
CL000330,C00580,2025-01-28,13133.93,Property,Closed,ADJ010
CL000331,C00184,2023-09-17,18077.07,Medical,Under Review,ADJ047
CL000332,C00788,2023-07-28,14434.01,Medical,Closed,ADJ008
CL000333,C00921,2022-06-06,2407.78,Property,Open,ADJ040
CL000334,C00784,2025-07-31,4170.11,Liability,Approved,ADJ032
CL000335,C00557,2025-07-08,25734.46,Liability,Closed,ADJ014
CL000336,C00603,2025-02-26,19659.15,Liability,Open,ADJ039
CL000337,C00615,2023-06-07,595.31,Theft,Under Review,ADJ040
CL000338,C00644,2025-07-11,19961.03,Collision,Closed,ADJ010
CL000339,C00057,2023-06-15,9972.51,Collision,Closed,ADJ003
CL000340,C00684,2025-06-08,8882.34,Theft,Under Review,ADJ022
CL000341,C00943,2024-03-17,1771.69,Collision,Approved,ADJ012
CL000342,C00166,2024-09-13,21628.77,Theft,Denied,ADJ036
CL000343,C00182,2025-02-15,14511.25,Theft,Under Review,ADJ003
CL000344,C00096,2025-03-01,11643.42,Medical,Under Review,ADJ025
CL000345,C00840,2025-05-13,1481.17,Liability,Denied,ADJ005
CL000346,C00300,2025-01-11,7326.84,Collision,Under Review,ADJ022
CL000347,C00540,2021-12-14,6499.49,Property,Closed,ADJ040
CL000348,C00060,2023-11-30,2084.88,Theft,Open,ADJ031
CL000349,C00742,2023-06-05,10485.49,Medical,Approved,ADJ039
CL000350,C00869,2021-11-16,10307.39,Theft,Under Review,ADJ009
CL000351,C00630,2022-09-17,17487.01,Liability,Approved,ADJ012
CL000352,C00905,2025-02-13,9336.38,Medical,Closed,ADJ001
CL000353,C00122,2025-05-24,847.81,Collision,Closed,ADJ040
CL000354,C00425,2025-08-09,6503.6,Medical,Under Review,ADJ036
CL000355,C00826,2024-10-27,9743.8,Collision,Closed,ADJ045
CL000356,C00289,2025-04-25,4189.05,Collision,Under Review,ADJ020
CL000357,C00519,2023-08-15,8474.91,Collision,Open,ADJ044
CL000358,C00342,2025-02-13,12122.39,Theft,Open,ADJ012
CL000359,C00199,2025-04-14,9727.22,Liability,Approved,ADJ003
CL000360,C00662,2024-11-19,2468.43,Property,Approved,ADJ035
CL000361,C00918,2021-10-02,5359.09,Liability,Open,ADJ034
CL000362,C00307,2023-12-25,18932.17,Theft,Denied,ADJ002
CL000363,C00214,2024-12-04,8872.27,Medical,Under Review,ADJ005
CL000364,C00993,2025-06-23,2664.92,Collision,Under Review,ADJ025
CL000365,C00642,2025-06-26,8246.96,Property,Denied,ADJ039
CL000366,C00399,2021-05-27,3216.99,Collision,Under Review,ADJ046
CL000367,C00879,2023-03-30,5060.24,Collision,Under Review,ADJ027
CL000368,C00089,2025-03-07,7707.29,Property,Under Review,ADJ029
CL000369,C00850,2025-03-11,14285.54,Property,Denied,ADJ020
CL000370,C00180,2024-06-02,4860.88,Property,Open,ADJ029
CL000371,C00519,2024-02-05,861.55,Liability,Denied,ADJ010
CL000372,C00195,2023-03-01,10773.59,Theft,Under Review,ADJ050
CL000373,C00336,2023-09-19,2577.78,Collision,Denied,ADJ044
CL000374,C00136,2021-11-23,3475.21,Collision,Approved,ADJ025
CL000375,C00731,2025-07-26,13039.75,Collision,Open,ADJ020
CL000376,C00955,2024-01-13,1138.43,Theft,Open,ADJ022
CL000377,C00479,2024-11-18,13393.2,Collision,Denied,ADJ050
CL000378,C00675,2023-07-17,11310.54,Collision,Denied,ADJ049
CL000379,C00320,2023-09-13,16693.8,Property,Closed,ADJ019
CL000380,C00284,2024-01-28,18677.76,Collision,Under Review,ADJ010
CL000381,C00162,2023-06-27,6769.77,Theft,Denied,ADJ033
CL000382,C00105,2022-11-16,3495.37,Medical,Denied,ADJ021
CL000383,C00278,2025-01-09,2552.57,Medical,Denied,ADJ016
CL000384,C00176,2024-12-08,1533.02,Theft,Under Review,ADJ035
CL000385,C00455,2024-08-13,1235.53,Collision,Approved,ADJ044
CL000386,C00052,2025-05-25,2035.94,Collision,Open,ADJ028
CL000387,C00402,2024-05-10,6488.03,Theft,Approved,ADJ040
CL000388,C00365,2025-07-15,5030.39,Property,Denied,ADJ006
CL000389,C00998,2025-06-15,13880.37,Liability,Denied,ADJ009
CL000390,C00096,2023-03-30,12286.34,Liability,Open,ADJ030
CL000391,C00318,2025-06-09,10424.93,Liability,Approved,ADJ015
CL000392,C00971,2022-07-03,8842.35,Theft,Under Review,ADJ024
CL000393,C00402,2025-02-19,7635.22,Medical,Under Review,ADJ030
CL000394,C00500,2024-11-27,938.83,Liability,Open,ADJ023
CL000395,C00491,2025-07-23,7188.0,Property,Under Review,ADJ050
CL000396,C00357,2025-07-24,15076.8,Collision,Approved,ADJ046
CL000397,C00816,2025-03-23,2051.23,Theft,Open,ADJ020
CL000398,C00546,2023-11-01,7184.14,Theft,Approved,ADJ016
CL000399,C00636,2025-06-03,4033.52,Property,Approved,ADJ025
CL000400,C00068,2025-06-25,12588.52,Theft,Approved,ADJ028
